NEW YORK, NY 10014","PETER FINE (HEAD OFFICER), CHRISTINA PIMENTEL, BATHGATE AVENUE ASSOCIATES LP, WAVECREST MANAGEMENT GROUP",,"BATHGATE GROUND, LLC",1/23/20,"$4,463,827.00","$1,058,405.00","$588,764.00","$469,641.00",
0.87%,1015140058,"$8,000,000.00",,,,,,,,,"$152,966.00","$83,513.00","$69,453.00",
0.86%,1015790137,"$5,289,000.00",,,,,,,,,"$292,160.00","$246,566.00","$45,594.00",
0.86%,1010100023,"$7,300,000.00",,,,,,,,,"$77,875.00","$15,422.00","$62,453.00",
0.85%,1012110003,"$6,350,000.00",,,,,,,,,"$136,554.00","$82,694.00","$53,860.00",
0.84%,1018620003,"$9,998,638.00",,,,,,,,,"$149,895.00","$65,771.00","$84,124.00",
0.83%,1015640021,"$2,450,000.00",,,,,,,,,"$193,626.00","$173,350.00","$20,276.00",
0.82%,1017250001,"$3,750,000.00",,,,,,,,,"$123,531.00","$92,923.00","$30,608.00",
0.80%,3046750045,"$2,900,000.00",,,,,,,,,"$324,887.00","$301,644.00","$23,243.00",
0.79%,2037230048,"$5,000,000.00",,,,,,,,,"$257,446.00","$218,011.00","$39,435.00",
0.78%,1010640055,"$4,550,000.00",,,,,,,,,"$35,428.00",,"$35,428.00",
0.76%,1005370006,"$11,200,000.00",,,,,,,,,"$446,341.00","$360,951.00","$85,390.00",
0.74%,1010320004,"$3,500,000.00",,,,,,,,,"$55,440.00","$29,391.00","$26,049.00",
0.72%,1008580008,"$380,600,000.00",,,,,,,,,"$21,035,454.00","$18,300,930.00","$2,734,524.00",
0.71%,1004630017,"$8,475,000.00",,,,,,,,,"$358,884.00","$298,590.00","$60,294.00",
0.63%,1010320063,"$3,500,000.00",,,,,,,,,"$50,712.00","$28,501.00","$22,211.00",
0.60%,2031910054,"$3,025,000.00",,,,,,,,,"$148,027.00","$129,759.00","$18,268.00",
0.38%,1007630005,"$4,000,000.00",,,,,,,,,"$240,361.00","$225,223.00","$15,138.00",
0.35%,1004000042,"$2,500,000.00",,,,,,,,,"$98,406.00","$89,730.00","$8,676.00",
0.29%,3046950031,"$4,050,000.00",,,,,,,,,"$37,758.00","$25,981.00","$11,777.00",
0.25%,1015640038,"$3,920,000.00",,,,,,,,,"$282,943.00","$272,973.00","$9,970.00",
0.21%,3032800004,"$680,000.00",,,,,,,,,"$37,788.00","$36,365.00","$1,423.00",
0.07%,1004050013,"$9,923,209.00",,,,,,,,,"$61,983.00","$54,641.00","$7,342.00",
0.03%,1004550027,"$3,526,000.00",,,,,,,,,"$215,988.00","$214,800.00","$1,188.00",
-0.13%,1013760122,"$20,000,000.00",,,,,,,,,"$4,083.00","$30,540.00","-$26,457.00",
-0.14%,1013310039,"$38,000,000.00",,,,,,,,,"$1,812,776.00","$1,866,887.00","-$54,111.00",
